PSEUDO_DEPTH,TEMP       ,CALI       ,GR         ,ILD        ,NPHI       ,RHOB       ,DT         ,TVD        ,TVDSS      ,VCL        ,PHIE       ,PHIT       ,SW         ,EF,PERFOS     ,RES_ID,WELL_ID,X,Y,HACKANAME
2149.97,89.8,9.98,66.34,1.9889,0.2125,2.2494,96.87,1661.09,1639.09,0.5278,0.0978,0.2588,0.7339,5,0,3005,210075859,15,20,B03
2150.12,89.8,10.01,63.06,2.0383,0.1947,2.2359,103.84,1661.24,1639.24,0.4596,0.1,0.2402,0.7703,5,0,3005,210075859,15,20,B03
2150.27,89.81,10.05,59.79,2.1581,0.1818,2.2266,110.81,1661.38,1639.38,0.3914,0.1099,0.2294,0.7607,2,0,3005,210075859,15,20,B03
2150.42,89.82,10.09,56.79,2.415,0.1879,2.244,117.64,1661.53,1639.53,0.3289,0.156,0.2564,0.6023,2,0,3005,210075859,15,20,B03
2150.58,89.82,10.04,56.29,2.7469,0.2068,2.2919,124.13,1661.68,1639.68,0.3186,0.1446,0.2418,0.5889,2,0,3005,210075859,15,20,B03
2150.73,89.83,9.81,56.3,2.9789,0.2115,2.3378,127.24,1661.82,1639.82,0.3187,0.1295,0.2267,0.5988,3,0,3005,210075859,15,20,B03
2150.88,89.83,9.58,56.3,2.9999,0.1959,2.3444,127.3,1661.97,1639.97,0.3187,0.1197,0.2169,0.6252,3,0,3005,210075859,15,20,B03
2151.03,89.84,9.43,52.21,2.9089,0.1648,2.3294,128.33,1662.12,1640.12,0.2336,0.1385,0.2098,0.6411,3,0,3005,210075859,15,20,B03
2151.18,89.84,9.47,46.39,2.826,0.1357,2.292,123.53,1662.26,1640.26,0.1123,0.1619,0.1962,0.6532,3,0,3005,210075859,15,20,B03
2151.64,89.86,10.07,45.57,3.1504,0.138,2.2559,110.99,1662.7,1640.7,0.0952,0.1758,0.2049,0.5808,2,0,3005,210075859,15,20,B03
2151.79,89.86,10.03,52.11,3.2294,0.1608,2.2428,106.4,1662.85,1640.85,0.2315,0.1547,0.2254,0.5542,2,0,3005,210075859,15,20,B03
2151.95,89.87,9.91,57.22,3.1882,0.1804,2.232,95.77,1663,1641,0.3379,0.14,0.2431,0.5324,2,0,3005,210075859,15,20,B03
2152.1,89.87,9.86,57.74,2.9555,0.1879,2.2314,101.59,1663.14,1641.14,0.3487,0.1466,0.253,0.5383,2,0,3005,210075859,15,20,B03
2152.25,89.88,9.87,56.97,2.6892,0.1828,2.2295,109.32,1663.29,1641.29,0.3326,0.1422,0.2437,0.5952,2,0,3005,210075859,15,20,B03
2152.4,89.88,9.87,56.08,2.4315,0.1759,2.2333,112.18,1663.44,1641.44,0.3142,0.1364,0.2323,0.6669,2,0,3005,210075859,15,20,B03
2152.56,89.89,9.97,57.48,2.22,0.1799,2.2411,117.22,1663.58,1641.58,0.3434,0.1278,0.2326,0.7181,2,0,3005,210075859,15,20,B03
2152.71,89.89,10.02,59.85,2.0803,0.1911,2.2323,121.08,1663.73,1641.73,0.3926,0.1227,0.2425,0.7319,2,0,3005,210075859,15,20,B03
2152.86,89.9,9.91,62.34,1.9533,0.2028,2.2227,122.43,1663.87,1641.87,0.4446,0.1172,0.2529,0.7453,5,0,3005,210075859,15,20,B03
2153.01,89.9,9.94,63.5,1.8263,0.2153,2.2361,131.13,1664.02,1642.02,0.4688,0.1314,0.2744,0.7166,5,0,3005,210075859,15,20,B03
2153.17,89.91,10.06,63.42,1.7013,0.2259,2.2353,135.9,1664.17,1642.17,0.4671,0.1356,0.2781,0.7402,5,0,3005,210075859,15,20,B03
2153.32,89.92,10.21,62.93,1.5891,0.2297,2.2233,129.62,1664.31,1642.31,0.4569,0.145,0.2845,0.7499,5,0,3005,210075859,15,20,B03
2153.47,89.92,10.29,63.46,1.501,0.2374,2.2276,130.69,1664.46,1642.46,0.468,0.1425,0.2853,0.7816,5,0,3005,210075859,15,20,B03
2153.62,89.93,10.3,66.12,1.4637,0.2448,2.228,132.72,1664.61,1642.61,0.5233,0.1296,0.2893,0.8069,5,0,3005,210075859,15,20,B03
2153.78,89.93,10.27,69.88,1.4467,0.2519,2.2236,124.84,1664.75,1642.75,0.6017,0.1125,0.2961,0.8209,5,0,3005,210075859,15,20,B03
2153.93,89.94,10.22,73.5,1.4411,0.2587,2.2148,117.38,1664.9,1642.9,0.6771,0.0984,0.305,0.8154,5,0,3005,210075859,15,20,B03
2154.08,89.94,10.23,74.96,1.4375,0.2579,2.2063,110.32,1665.05,1643.05,0.7074,0.0839,0.2997,0.8385,5,0,3005,210075859,15,20,B03
2154.23,89.95,10.24,74.7,1.4339,0.2456,2.2108,105.7,1665.19,1643.19,0.7022,0.0685,0.2828,0.8924,5,0,3005,210075859,15,20,B03
2154.39,89.95,10.25,74.17,1.4312,0.2399,2.2152,99.24,1665.34,1643.34,0.6911,0.065,0.2759,0.9161,5,0,3005,210075859,15,20,B03
2154.54,89.96,10.25,73.38,1.4289,0.2353,2.2266,108.33,1665.49,1643.49,0.6746,0.0649,0.2708,0.9349,5,0,3005,210075859,15,20,B03
2154.69,89.96,10.25,72.25,1.4161,0.2345,2.2371,117.33,1665.63,1643.63,0.651,0.0726,0.2712,0.9397,5,0,3005,210075859,15,20,B03
2154.84,89.97,10.25,71.02,1.395,0.2402,2.2523,121.65,1665.78,1643.78,0.6254,0.0901,0.2809,0.9092,5,0,3005,210075859,15,20,B03
2154.99,89.97,10.25,70.5,1.3727,0.2379,2.2622,121.34,1665.93,1643.93,0.6147,0.0879,0.2754,0.9399,5,0,3005,210075859,15,20,B03
2155.15,89.98,10.26,71.53,1.3491,0.2406,2.2614,120.97,1666.07,1644.07,0.636,0.0833,0.2773,0.9517,5,0,3005,210075859,15,20,B03
2155.3,89.98,10.24,73.52,1.3209,0.2495,2.2569,120.65,1666.22,1644.22,0.6776,0.0764,0.2832,0.9549,5,0,3005,210075859,15,20,B03
2155.45,89.99,10.16,75.3,1.2919,0.2492,2.258,120.84,1666.36,1644.36,0.7146,0.0658,0.2839,0.9746,5,0,3005,210075859,15,20,B03
2156.52,90.03,10.26,65.23,1.3911,0.2487,2.2875,120.81,1667.39,1645.39,0.5047,0.1094,0.2634,0.9345,5,0,3005,210075859,15,20,B03
2156.67,90.03,10.27,65.91,1.4444,0.2538,2.2669,121.03,1667.54,1645.54,0.5189,0.1157,0.274,0.8712,5,0,3005,210075859,15,20,B03
2156.82,90.04,10.3,67.72,1.4898,0.2531,2.2631,119.95,1667.68,1645.68,0.5567,0.1067,0.2766,0.8572,5,0,3005,210075859,15,20,B03
2156.98,90.04,10.31,69.48,1.5662,0.247,2.2622,113.94,1667.83,1645.83,0.5933,0.0954,0.2765,0.836,5,0,3005,210075859,15,20,B03
2157.13,90.05,10.3,69.73,1.7526,0.242,2.2511,107.7,1667.98,1645.98,0.5985,0.0973,0.28,0.7539,5,0,3005,210075859,15,20,B03
2157.28,90.05,10.15,68.1,2.0067,0.2313,2.2404,104.63,1668.12,1646.12,0.5647,0.108,0.2803,0.6718,5,0,3005,210075859,15,20,B03
