PSEUDO_DEPTH;TEMP       ;CALI       ;GR         ;ILD        ;NPHI       ;RHOB       ;DT         ;TVD        ;TVDSS      ;VCL        ;PHIE       ;PHIT       ;SW         ;EF;PERFOS     ;RES_ID;WELL_ID;X;Y;HACKANAME
2336.96;94.71;12.3813;52.37;3.1561;0.2355;2.223;97.01;1727.44;1700.24;0.3395;0.1676;0.247;0.3472;2;0;2900;790429659;6;4;B0700
2337.11;94.72;12.4064;49.91;3.2828;0.2221;2.2301;99.71;1727.49;1700.29;0.2985;0.1677;0.2375;0.3497;2;0;2900;790429659;6;4;B0700
2337.27;94.72;12.4416;44.46;3.4164;0.2172;2.2362;101.95;1727.54;1700.34;0.2076;0.1952;0.2437;0.3234;2;0;2900;790429659;6;4;B0700
2337.42;94.72;12.5318;39.98;3.5039;0.2225;2.2359;102.88;1727.59;1700.39;0.133;0.2256;0.2567;0.2948;2;0;2900;790429659;6;4;B0700
2337.57;94.72;12.5835;39.52;3.5297;0.2274;2.2284;102.57;1727.64;1700.44;0.1254;0.2319;0.2613;0.2877;2;0;2900;790429659;6;4;B0700
2337.72;94.73;12.586;43.06;3.4946;0.228;2.223;102.56;1727.7;1700.5;0.1843;0.2214;0.2645;0.2907;2;0;2900;790429659;6;4;B0700
2337.87;94.73;12.5949;48.06;3.4395;0.2328;2.2286;103.63;1727.75;1700.55;0.2676;0.1906;0.2532;0.3146;2;0;2900;790429659;6;4;B0700
2338.03;94.73;12.6206;52.02;3.4156;0.2487;2.2421;102.98;1727.8;1700.6;0.3337;0.187;0.2651;0.3057;2;0;2900;790429659;6;4;B0700
2338.18;94.73;12.6284;53.7;3.4386;0.2671;2.2523;103.84;1727.85;1700.65;0.3617;0.1816;0.2662;0.3048;2;0;2900;790429659;6;4;B0700
2338.33;94.73;12.6024;52.34;3.4856;0.267;2.2475;107.65;1727.91;1700.71;0.3389;0.1886;0.2679;0.2988;2;0;2900;790429659;6;4;B0700
2338.48;94.74;12.5549;49.7;3.5791;0.2531;2.2274;107.05;1727.96;1700.76;0.295;0.203;0.272;0.2865;2;0;2900;790429659;6;4;B0700
2338.64;94.74;12.5107;48.12;3.6928;0.2378;2.1966;103.18;1728.01;1700.81;0.2686;0.1957;0.2585;0.2951;2;0;2900;790429659;6;4;B0700
2338.79;94.74;12.4988;48.45;3.7848;0.2294;2.1685;103.94;1728.06;1700.86;0.2741;0.1845;0.2486;0.3034;1;0;2900;790429659;6;4;B0700
2338.94;94.74;12.4927;48.48;3.8832;0.228;2.1514;105.98;1728.11;1700.91;0.2747;0.1827;0.2469;0.3009;1;0;2900;790429659;6;4;B0700
2339.09;94.75;12.4892;45.51;3.9882;0.2295;2.144;108.3;1728.17;1700.97;0.2252;0.2021;0.2548;0.2835;1;0;2900;790429659;6;4;B0700
2339.25;94.75;12.522;40.89;4.1344;0.2318;2.1408;112.09;1728.22;1701.02;0.1482;0.2311;0.2658;0.2609;1;0;2900;790429659;6;4;B0700
